indicator,geography,year,value,unit,source_id
"Education, Sports, Arts & Culture",Punjab,2026,21503,₹ crore,prs_punjab_budget_2026_27
Social Welfare & Nutrition,Punjab,2026,18775,₹ crore,prs_punjab_budget_2026_27
Agriculture & Allied Activities,Punjab,2026,15281,₹ crore,prs_punjab_budget_2026_27
Police,Punjab,2026,9214,₹ crore,prs_punjab_budget_2026_27
Health & Family Welfare,Punjab,2026,7787,₹ crore,prs_punjab_budget_2026_27
Energy,Punjab,2026,5798,₹ crore,prs_punjab_budget_2026_27
Transport,Punjab,2026,5153,₹ crore,prs_punjab_budget_2026_27
Urban Development,Punjab,2026,2945,₹ crore,prs_punjab_budget_2026_27
Irrigation & Flood Control,Punjab,2026,2943,₹ crore,prs_punjab_budget_2026_27
Rural Development,Punjab,2026,2858,₹ crore,prs_punjab_budget_2026_27
